group	fill
1	#EDD7D4
2	#ECD6D3
3	#EBD3D0
4	#EAD1CE
5	#E9CFCB
6	#E8CCC9
7	#E7CAC6
8	#E6C8C4
9	#E5C6C2
10	#E4C4C0
11	#E3C2BE
12	#E1BFBB
13	#E0BDB8
14	#DFBAB5
15	#DDB7B2
16	#DCB4AF
17	#D9AFAA
18	#D6AAA4
19	#D3A49E
20	#D09E98
21	#CE9B95
22	#CC9891
23	#CA958E
24	#C9928B
25	#C78E87
26	#C48983
27	#C1847D
28	#BE7F78
29	#BB7A73
30	#B8756E
31	#F3E5E3
32	#F3E3E1
33	#F2E1DF
34	#F1DFDC
35	#EFDCDA
36	#EEDAD7
37	#EDD8D5
38	#EDD6D3
39	#ECD4D1
40	#EBD2CF
41	#EAD0CD
42	#E8CDCA
43	#E7CAC7
44	#E6C8C4
45	#E4C5C1
46	#E3C2BE
47	#E0BDB8
48	#DDB7B2
49	#DAB1AC
50	#D7ABA6
51	#D4A59F
52	#D1A09B
53	#CF9D97
54	#CE9A94
55	#CC9791
56	#C9928B
57	#C68D86
58	#C38881
59	#C0837C
60	#BD7E77
61	#FAF2F1
62	#F9F1F0
63	#F8EFED
64	#F7ECEB
65	#F6EAE9
66	#F5E8E6
67	#F4E6E4
68	#F3E4E2
69	#F2E2E0
70	#F1E0DD
71	#F0DDDB
72	#EFDBD9
73	#EED8D6
74	#ECD5D2
75	#EBD3CF
76	#E9D0CC
77	#E7CAC6
78	#E4C4C0
79	#E1BEBA
80	#DEB8B3
81	#DBB2AD
82	#D8ACA7
83	#D4A7A1
84	#D2A39D
85	#D09F99
86	#CE9A94
87	#CB968F
88	#C8908A
89	#C58B85
90	#C2867F
91	#FEFEFF
92	#FFFFFF
93	#FEFCFC
94	#FDFAFA
95	#FCF8F7
96	#FBF6F5
97	#FAF4F3
98	#F9F2F0
99	#F8EFEE
100	#F7EDEC
101	#F6EBE9
102	#F5E9E7
103	#F4E6E5
104	#F3E3E1
105	#F1E1DE
106	#F0DEDB
107	#EDD8D5
108	#EAD2CE
109	#E7CCC8
110	#E5C6C2
111	#E2C0BB
112	#DEBAB5
113	#DBB4AF
114	#D8ADA7
115	#D4A6A1
116	#D2A29C
117	#CF9E98
118	#CD9993
119	#CA948D
120	#C78F88
121	#F3F1F9
122	#F4F3F9
123	#F6F4FA
124	#F8F6FB
125	#F9F9FC
126	#FBFBFD
127	#FDFDFE
128	#FFFFFF
129	#FEFDFD
130	#FDFBFB
131	#FCF9F8
132	#FBF6F6
133	#FAF4F3
134	#F9F2F1
135	#F8EFED
136	#F6EBEA
137	#F4E5E3
138	#F1DFDD
139	#EED9D6
140	#EBD3D0
141	#E8CDC9
142	#E5C7C3
143	#E2C0BC
144	#DEB9B4
145	#DAB2AD
146	#D7ABA5
147	#D4A5A0
148	#D1A19B
149	#CF9D96
150	#CC9791
151	#E8E5F3
152	#E9E6F3
153	#EAE7F4
154	#ECE9F5
155	#EEECF6
156	#F0EEF7
157	#F2F0F8
158	#F3F2F9
159	#F5F4FA
160	#F7F6FB
161	#F9F8FC
162	#FBFAFD
163	#FCFCFE
164	#FEFEFF
165	#FEFDFD
166	#FCF9F9
167	#FAF3F2
168	#F7EDEB
169	#F4E7E5
170	#F2E1DE
171	#EFDBD8
172	#ECD4D1
173	#E8CDC9
174	#E4C6C2
175	#E1BEBA
176	#DDB7B2
177	#D9B0AB
178	#D6A9A4
179	#D3A49F
180	#D09E98
181	#DDD8ED
182	#DED9ED
183	#DFDBEE
184	#E1DDEF
185	#E3DFF0
186	#E4E1F1
187	#E6E3F2
188	#E8E5F3
189	#EAE7F4
190	#ECE9F5
191	#EDEBF6
192	#EFEDF6
193	#F1EFF7
194	#F3F1F8
195	#F5F4FA
196	#F8F7FB
197	#FDFDFE
198	#FDFBFA
199	#FAF4F4
200	#F8EEED
201	#F5E8E6
202	#F2E1DF
203	#EED9D7
204	#EBD2CF
205	#E7CBC7
206	#E3C3BF
207	#E0BCB8
208	#DCB5B0
209	#D7ACA7
210	#D2A39D
211	#D2CCE6
212	#D3CDE7
213	#D4CEE7
214	#D5D0E8
215	#D7D2E9
216	#D9D4EA
217	#DBD6EB
218	#DDD8EC
219	#DFDAED
220	#E0DCEE
221	#E2DEEF
222	#E4E0F0
223	#E6E2F1
224	#E8E4F2
225	#E9E6F3
226	#EDEAF5
227	#F2F0F8
228	#F7F6FB
229	#FCFCFE
230	#FEFCFC
231	#FBF5F4
232	#F7EEEC
233	#F4E6E4
234	#F1DFDC
235	#EDD7D4
236	#EAD0CC
237	#E6C8C5
238	#E2C0BB
239	#DCB5B0
240	#D6AAA4
241	#C7C0E0
242	#C7C0E1
243	#C8C1E1
244	#CAC3E2
245	#CCC5E3
