group	fill
1	#E9CFCB
2	#E9CECA
3	#E8CCC9
4	#E7CBC7
5	#E6C9C5
6	#E6C8C4
7	#E5C6C2
8	#E4C5C1
9	#E4C4C0
10	#E3C3BE
11	#E2C1BD
12	#E1BFBB
13	#E0BDB8
14	#DFBBB6
15	#DEB9B4
16	#DDB6B1
17	#DAB0AB
18	#D6AAA5
19	#D3A59F
20	#D09F99
21	#CE9A94
22	#CC9791
23	#CA948D
24	#C8908A
25	#C58C85
26	#C2867F
27	#BF817A
28	#BC7C75
29	#B8766F
30	#B5716A
31	#F0DCDA
32	#EFDBD9
33	#EEDAD7
34	#EED8D6
35	#EDD7D4
36	#ECD5D2
37	#ECD4D1
38	#EBD3D0
39	#EAD2CE
40	#EAD0CD
41	#E9CFCC
42	#E8CDCA
43	#E7CBC7
44	#E6C9C5
45	#E5C6C3
46	#E3C3BF
47	#E0BEB9
48	#DEB8B3
49	#DAB2AD
50	#D7ACA7
51	#D4A7A1
52	#D1A19B
53	#CF9C96
54	#CD9892
55	#CA948D
56	#C78E88
57	#C48982
58	#C1847D
59	#BD7F78
60	#BA7972
61	#F6EAE8
62	#F5E9E8
63	#F5E8E6
64	#F4E6E4
65	#F3E5E3
66	#F3E3E1
67	#F2E2E0
68	#F2E1DF
69	#F1DFDD
70	#F0DEDC
71	#F0DDDA
72	#EFDBD9
73	#EED9D6
74	#EDD7D4
75	#ECD5D1
76	#EAD1CE
77	#E7CBC7
78	#E4C5C1
79	#E1BFBB
80	#DEBAB5
81	#DBB4AF
82	#D8AEA9
83	#D5A8A2
84	#D1A19B
85	#CE9B95
86	#CB9690
87	#C9918B
88	#C58C85
89	#C28780
90	#BF817B
91	#FCF8F7
92	#FCF7F6
93	#FBF6F5
94	#FAF4F3
95	#FAF3F2
96	#F9F1F0
97	#F8F0EF
98	#F8EEED
99	#F7EDEC
100	#F7ECEA
101	#F6EAE9
102	#F5E9E7
103	#F5E7E5
104	#F3E5E3
105	#F2E3E1
106	#F1DFDC
107	#EED9D6
108	#EBD3D0
109	#E8CDC9
110	#E5C7C3
111	#E2C1BD
112	#DFBBB7
113	#DCB4AF
114	#D8ADA8
115	#D4A6A0
116	#D09F99
117	#CD9993
118	#CA948E
119	#C78F88
120	#C48A83
121	#FAF9FC
122	#FAFAFC
123	#FBFBFD
124	#FDFCFE
125	#FEFDFE
126	#FFFFFF
127	#FEFEFE
128	#FEFCFC
129	#FDFBFB
130	#FDF9F9
131	#FCF8F8
132	#FBF7F6
133	#FBF5F4
134	#FAF3F2
135	#F9F1F0
136	#F7ECEB
137	#F4E6E5
138	#F1E1DE
139	#EFDBD8
140	#ECD5D2
141	#E9CFCB
142	#E6C8C4
143	#E2C1BC
144	#DEB9B5
145	#DAB2AD
146	#D7ABA5
147	#D3A49E
148	#CF9D97
149	#CC9791
150	#C9928B
151	#EFECF6
152	#EFEDF6
153	#F0EEF7
154	#F1EFF7
155	#F2F0F8
156	#F3F2F9
157	#F5F3F9
158	#F6F4FA
159	#F7F6FB
160	#F8F7FB
161	#F9F8FC
162	#FAFAFD
163	#FCFBFD
164	#FDFDFE
165	#FFFFFF
166	#FDFAFA
167	#FAF4F4
168	#F8EEED
169	#F5E8E7
170	#F2E2E0
171	#EFDCD9
172	#ECD4D1
173	#E8CDCA
174	#E5C6C2
175	#E1BEBA
176	#DDB7B2
177	#D9B0AB
178	#D6A9A3
179	#D2A29C
180	#CD9992
181	#E3E0F0
