group	fill
1	#F3E3E1
2	#F1E0DE
3	#F0DDDB
4	#EEDAD7
5	#EDD7D4
6	#EBD3D0
7	#EAD1CD
8	#E9CECA
9	#E7CBC7
10	#E6C8C4
11	#E4C5C1
12	#E3C2BD
13	#E1BEBA
14	#DFBBB6
15	#DDB7B2
16	#DBB3AE
17	#D9AFAA
18	#D6A9A4
19	#D3A39D
20	#CF9D97
21	#CD9993
22	#CB9690
23	#C9938C
24	#C89089
25	#C58C85
26	#C38881
27	#C1847D
28	#BE8079
29	#BC7C75
30	#B97770
31	#F8F0EF
32	#F7EEEC
33	#F6EBE9
34	#F5E7E6
35	#F3E4E2
36	#F2E1DF
37	#F0DEDC
38	#EFDBD9
39	#EED9D6
40	#ECD6D3
41	#EBD3D0
42	#E9CFCC
43	#E8CCC8
44	#E6C8C4
45	#E4C4C0
46	#E2C1BD
47	#E0BCB8
48	#DDB6B1
49	#D9B0AB
50	#D6AAA4
51	#D3A49E
52	#D09F98
53	#CE9C95
54	#CD9892
55	#CB958F
56	#C9928B
57	#C78E87
58	#C48A83
59	#C1857E
60	#BE8079
61	#FEFDFD
62	#FDFBFB
63	#FCF8F8
64	#FBF5F4
65	#F9F2F1
66	#F8EFEE
67	#F7ECEA
68	#F5E9E7
69	#F4E6E4
70	#F3E3E1
71	#F1E0DE
72	#F0DDDA
73	#EED9D6
74	#ECD6D3
75	#EBD2CF
76	#E9CECB
77	#E6C9C6
78	#E3C3BF
79	#E0BDB8
80	#DDB7B2
81	#DAB1AB
82	#D7ABA5
83	#D3A49F
84	#D1A19B
85	#D09E98
86	#CE9B95
87	#CC9892
88	#C9938C
89	#C68E87
90	#C38982
91	#F6F4FA
92	#F7F6FB
93	#FAF9FC
94	#FCFCFE
95	#FFFFFF
96	#FEFCFC
97	#FDF9F9
98	#FBF6F6
99	#FAF3F2
100	#F9F0EF
101	#F7EDEC
102	#F6EAE9
103	#F4E7E5
104	#F3E3E1
105	#F1DFDD
106	#EFDCD9
107	#EDD7D4
108	#EAD0CD
109	#E7CAC6
110	#E4C4C0
111	#E0BEB9
112	#DDB7B3
113	#DAB1AC
114	#D7ABA6
115	#D5A7A1
116	#D3A49E
117	#D1A09A
118	#CE9C96
119	#CC9790
120	#C9928B
121	#EBE8F4
122	#ECEAF5
123	#EFECF6
124	#F1EFF8
125	#F4F2F9
126	#F6F5FA
127	#F9F8FC
