group	fill
1	#AAA1D1
2	#B1A8D4
3	#B7AFD8
4	#BEB6DB
5	#C4BDDF
6	#CBC4E2
7	#D1CBE6
8	#D7D2EA
9	#DED9ED
10	#E4E1F1
11	#EBE8F4
12	#F1F0F8
13	#F8F7FB
14	#FFFEFF
15	#FCF8F7
16	#F8F0EF
17	#F5E8E6
18	#F1E0DE
19	#EED8D6
20	#EAD1CD
21	#E6C9C5
22	#E2C1BD
23	#DEBAB5
24	#DBB2AD
25	#D7ABA5
26	#D2A39D
27	#CE9C95
28	#CA948E
29	#C68D86
30	#C2857F
31	#A69DCF
32	#ADA4D2
33	#B4ABD6
34	#BAB2D9
35	#C0B9DD
36	#C7C0E1
37	#CDC7E4
38	#D4CEE8
39	#DAD5EB
40	#E1DDEF
41	#E7E4F2
42	#EEEBF6
43	#F4F3F9
44	#FBFAFD
45	#FEFCFC
46	#FAF4F3
47	#F7ECEB
48	#F3E4E2
49	#F0DDDA
50	#ECD5D2
51	#E8CDCA
52	#E4C5C1
53	#E1BEB9
54	#DDB6B1
55	#D9AFA9
56	#D5A7A2
57	#D1A09A
58	#CC9892
59	#C8918A
60	#C48983
61	#A399CD
62	#A9A0D0
63	#B0A7D4
64	#B6AED7
65	#BDB5DB
66	#C3BCDF
67	#CAC3E2
68	#D0CAE6
69	#D7D1E9
70	#DDD9ED
71	#E4E0F0
72	#EAE7F4
73	#F1EFF7
74	#F7F6FB
75	#FEFEFE
76	#FCF8F8
77	#F9F1EF
78	#F5E9E7
79	#F2E1DF
80	#EED9D6
81	#EAD1CE
82	#E7CAC6
83	#E3C2BE
84	#DFBAB6
85	#DBB3AE
86	#D7ABA6
87	#D3A49E
88	#CF9C96
89	#CB958E
90	#C68E87
91	#9F95CB
92	#A69CCE
93	#ACA3D2
94	#B3AAD6
95	#B9B1D9
96	#C0B8DD
97	#C6BFE0
98	#CDC6E4
99	#D3CEE7
100	#DAD5EB
101	#E0DCEE
102	#E7E3F2
103	#EDEBF5
104	#F4F2F9
105	#FAFAFC
106	#FEFDFD
107	#FBF5F4
108	#F7EDEC
109	#F4E5E3
110	#F0DDDB
111	#ECD6D3
112	#E9CECA
113	#E5C6C2
114	#E1BFBA
115	#DDB7B2
116	#D9AFAA
117	#D5A8A2
118	#D1A09A
119	#CD9993
120	#C9928B
121	#9C92C9
122	#A298CD
123	#A99FD0
124	#AFA6D4
125	#B6ADD7
126	#BCB4DB
127	#C3BBDE
