group	colour	showSelected3
1	#FFFFFF	correct
2	#000000	error
3	#FFFFFF	correct
4	#FFFFFF	correct
5	#000000	error
6	#000000	error
7	#FFFFFF	correct
8	#FFFFFF	correct
9	#FFFFFF	correct
10	#FFFFFF	correct
11	#FFFFFF	correct
12	#000000	error
13	#FFFFFF	correct
14	#FFFFFF	correct
15	#FFFFFF	correct
16	#FFFFFF	correct
17	#000000	error
18	#FFFFFF	correct
19	#000000	error
20	#FFFFFF	correct
21	#FFFFFF	correct
22	#FFFFFF	correct
23	#FFFFFF	correct
24	#FFFFFF	correct
25	#000000	error
26	#FFFFFF	correct
27	#FFFFFF	correct
28	#000000	error
29	#FFFFFF	correct
30	#FFFFFF	correct
31	#000000	error
32	#FFFFFF	correct
33	#FFFFFF	correct
34	#FFFFFF	correct
35	#FFFFFF	correct
36	#000000	error
37	#FFFFFF	correct
38	#000000	error
39	#FFFFFF	correct
40	#000000	error
41	#FFFFFF	correct
42	#FFFFFF	correct
43	#FFFFFF	correct
44	#000000	error
45	#000000	error
46	#000000	error
47	#000000	error
48	#FFFFFF	correct
49	#000000	error
50	#FFFFFF	correct
51	#FFFFFF	correct
52	#FFFFFF	correct
53	#FFFFFF	correct
54	#FFFFFF	correct
55	#000000	error
56	#FFFFFF	correct
57	#FFFFFF	correct
58	#FFFFFF	correct
59	#FFFFFF	correct
60	#FFFFFF	correct
61	#000000	error
62	#FFFFFF	correct
63	#FFFFFF	correct
64	#000000	error
65	#FFFFFF	correct
66	#FFFFFF	correct
67	#FFFFFF	correct
68	#000000	error
69	#FFFFFF	correct
70	#000000	error
71	#FFFFFF	correct
72	#FFFFFF	correct
73	#FFFFFF	correct
74	#000000	error
75	#FFFFFF	correct
76	#FFFFFF	correct
77	#FFFFFF	correct
78	#000000	error
79	#FFFFFF	correct
80	#FFFFFF	correct
81	#FFFFFF	correct
82	#FFFFFF	correct
83	#000000	error
84	#FFFFFF	correct
85	#000000	error
86	#FFFFFF	correct
87	#000000	error
88	#FFFFFF	correct
89	#FFFFFF	correct
90	#FFFFFF	correct
91	#FFFFFF	correct
92	#FFFFFF	correct
93	#000000	error
94	#FFFFFF	correct
95	#FFFFFF	correct
96	#FFFFFF	correct
97	#FFFFFF	correct
98	#FFFFFF	correct
99	#FFFFFF	correct
100	#FFFFFF	correct
