group	fill
1	#A99FD0
2	#AFA6D3
3	#B5ADD7
4	#BCB4DA
5	#C2BBDE
6	#C9C2E1
7	#CFC9E5
8	#D5D0E8
9	#DCD7EC
10	#E2DEEF
11	#E9E5F3
12	#EFEDF6
13	#F5F4FA
14	#FCFBFD
15	#FDFBFB
16	#FAF3F2
17	#F6EBEA
18	#F3E4E2
19	#EFDCD9
20	#ECD4D1
21	#E8CDC9
22	#E4C5C1
23	#E1BEB9
24	#DDB6B1
25	#D9AFA9
26	#D5A7A2
27	#D1A09A
28	#CD9992
29	#C8918B
30	#C48A83
31	#A59BCE
32	#ABA2D2
33	#B2A9D5
34	#B8B0D9
35	#BFB7DC
36	#C5BEE0
37	#CBC5E3
38	#D2CCE7
39	#D8D3EA
40	#DFDAED
41	#E5E2F1
42	#ECE9F4
43	#F2F0F8
44	#F8F7FB
45	#FFFFFF
46	#FCF7F7
47	#F8F0EE
48	#F5E8E6
49	#F1E0DE
50	#EED9D6
51	#EAD1CE
52	#E6C9C6
53	#E3C2BE
54	#DFBAB6
55	#DBB3AE
56	#D7ABA6
57	#D3A49E
58	#CF9D96
59	#CB958F
60	#C78E87
61	#A298CC
62	#A89ED0
63	#AEA5D3
64	#B5ACD7
65	#BBB3DA
66	#C2BADE
67	#C8C1E1
68	#CEC8E5
69	#D5CFE8
70	#DBD6EC
71	#E2DEEF
72	#E8E5F3
73	#EEECF6
74	#F5F3FA
75	#FBFBFD
76	#FEFCFB
77	#FAF4F3
78	#F7ECEB
79	#F3E4E2
80	#F0DDDA
81	#ECD5D2
82	#E8CDCA
83	#E5C6C2
84	#E1BEBA
85	#DDB7B2
86	#D9AFAA
87	#D5A8A2
88	#D1A19B
89	#CD9993
90	#C9928B
91	#9E94CA
92	#A49BCE
93	#ABA1D1
94	#B1A8D5
95	#B8AFD8
96	#BEB6DC
97	#C4BDDF
98	#CBC4E3
99	#D1CBE6
100	#D8D2EA
101	#DEDAED
102	#E4E1F1
103	#EBE8F4
104	#F1EFF8
105	#F8F7FB
106	#FEFEFF
107	#FCF8F8
108	#F9F0EF
109	#F5E9E7
110	#F2E1DF
111	#EED9D7
112	#EAD2CE
113	#E7CAC6
114	#E3C2BE
115	#DFBBB6
116	#DBB3AE
117	#D7ACA7
118	#D3A59F
119	#CF9D97
120	#CB9690
121	#9A90C8
122	#A197CC
123	#A79ECF
124	#AEA5D3
125	#B4ABD6
126	#BBB2DA
127	#C1B9DD
128	#C7C0E1
129	#CEC7E4
130	#D4CFE8
131	#DBD6EB
132	#E1DDEF
133	#E7E4F2
134	#EEEBF6
135	#F4F3F9
136	#FBFAFD
137	#FEFCFC
138	#FBF5F4
139	#F7EDEC
140	#F4E5E3
141	#F0DDDB
142	#ECD6D3
143	#E9CECB
144	#E5C7C3
145	#E1BFBB
146	#DDB8B3
147	#D9B0AB
148	#D6A9A3
149	#D1A19B
150	#CD9A94
151	#978DC6
152	#9D93CA
153	#A49ACD
154	#AAA1D1
155	#B1A8D4
156	#B7AFD8
157	#BDB5DB
158	#C4BCDF
159	#CAC4E2
160	#D1CBE6
161	#D7D2E9
162	#DDD9ED
163	#E4E0F0
164	#EAE7F4
165	#F1EFF7
166	#F7F6FB
167	#FEFDFE
168	#FCF9F8
169	#F9F1F0
170	#F6E9E8
171	#F2E2E0
172	#EEDAD7
173	#EBD2CF
174	#E7CBC7
175	#E3C3BF
176	#E0BCB7
177	#DCB4AF
178	#D8ADA7
179	#D4A5A0
180	#D09E98
181	#9389C4
182	#9A90C8
183	#A096CB
184	#A79DCF
185	#ADA4D2
186	#B4ABD6
187	#BAB2D9
188	#C0B9DD
189	#C7C0E0
190	#CDC7E4
191	#D4CEE7
192	#DAD5EB
193	#E0DCEE
194	#E7E3F2
195	#EDEBF5
196	#F4F2F9
197	#FAF9FC
198	#FEFDFD
199	#FBF5F5
200	#F7EEEC
201	#F4E6E4
202	#F0DEDC
203	#EDD7D4
204	#E9CFCC
205	#E5C7C3
206	#E2C0BB
207	#DEB8B4
208	#DAB1AC
209	#D6A9A4
210	#D2A29C
211	#9085C2
212	#968CC6
213	#9D93C9
214	#A399CD
215	#AAA0D1
216	#B0A7D4
217	#B6AED8
218	#BDB5DB
219	#C3BCDF
220	#CAC3E2
221	#D0CAE5
222	#D6D1E9
223	#DDD8EC
224	#E3DFF0
225	#EAE7F3
226	#F0EEF7
227	#F7F5FA
228	#FDFDFE
229	#FDFAF9
230	#F9F2F1
231	#F6EAE9
232	#F2E2E0
233	#EFDBD8
234	#EBD3D0
235	#E7CBC8
236	#E4C4C0
237	#E0BCB8
238	#DCB5B0
239	#D8ADA8
240	#D4A6A0
241	#8C82C1
242	#9388C4
243	#998FC8
244	#A096CB
245	#A69CCF
246	#ADA3D2
247	#B3AAD6
248	#B9B1D9
249	#C0B8DD
250	#C6BFE0
251	#CDC6E4
252	#D3CDE7
253	#D9D4EB
254	#E0DBEE
255	#E6E3F2
256	#EDEAF5
257	#F3F1F9
258	#F9F9FC
259	#FFFEFE
260	#FBF6F5
261	#F8EEED
262	#F4E7E5
263	#F1DFDD
264	#EDD7D4
265	#E9D0CC
266	#E6C8C4
267	#E2C1BC
268	#DEB9B4
269	#DAB2AC
270	#D6AAA5
271	#897EBF
272	#8F85C2
273	#968BC6
274	#9C92C9
275	#A399CD
276	#A99FD0
277	#AFA6D4
278	#B6ADD7
279	#BCB4DB
280	#C3BBDE
281	#C9C2E2
282	#CFC9E5
283	#D6D0E9
284	#DCD8EC
285	#E3DFF0
286	#E9E6F3
287	#EFEDF7
288	#F6F5FA
289	#FCFCFE
290	#FDFAFA
291	#FAF3F2
292	#F6EBE9
293	#F3E3E1
294	#EFDBD9
295	#EBD4D1
296	#E8CCC9
297	#E4C5C1
298	#E0BDB9
299	#DCB6B1
300	#D8AEA9
301	#857ABD
302	#8C81C0
303	#9288C4
304	#998EC7
305	#9F95CB
306	#A59CCE
307	#ACA3D2
308	#B2A9D5
309	#B9B0D9
310	#BFB7DC
311	#C6BEE0
312	#CCC5E3
313	#D2CCE7
314	#D9D4EA
315	#DFDBEE
316	#E6E2F1
317	#ECE9F5
318	#F2F1F8
319	#F9F8FC
320	#FFFFFF
321	#FCF7F6
322	#F8EFEE
323	#F5E7E6
324	#F1E0DD
325	#EDD8D5
326	#EAD0CD
327	#E6C9C5
328	#E2C1BD
329	#DFBAB5
330	#DBB2AD
331	#8177BB
332	#887DBE
333	#8F84C2
334	#958BC5
335	#9C91C9
336	#A298CC
337	#A89FD0
338	#AFA6D3
339	#B5ADD7
340	#BCB3DA
341	#C2BADE
342	#C8C1E1
343	#CFC9E5
344	#D5D0E8
345	#DCD7EC
346	#E2DEEF
347	#E8E5F3
348	#EFEDF6
349	#F5F4FA
350	#FCFBFD
351	#FDFBFB
352	#FAF3F2
353	#F7ECEA
354	#F3E4E2
355	#EFDCDA
356	#ECD5D2
357	#E8CDC9
358	#E4C5C1
359	#E1BEB9
360	#DDB6B1
361	#7E73B9
362	#847ABC
363	#8B80C0
364	#9187C3
365	#988EC7
366	#9E94CA
367	#A59BCE
368	#ABA2D1
369	#B2A9D5
370	#B8B0D8
371	#BFB7DC
372	#C5BEDF
373	#CBC5E3
374	#D2CCE6
375	#D8D3EA
376	#DFDAED
377	#E5E1F1
378	#EBE9F4
379	#F2F0F8
380	#F8F7FB
381	#FFFFFF
382	#FCF8F7
383	#F8F0EF
384	#F5E8E6
385	#F1E0DE
386	#EED9D6
387	#EAD1CE
388	#E6CAC6
389	#E3C2BE
390	#DFBAB6
391	#7A70B7
392	#8176BA
393	#877DBE
394	#8E83C1
395	#948AC5
396	#9B91C8
397	#A197CC
398	#A89ECF
399	#AEA5D3
400	#B5ACD7
401	#BBB3DA
402	#C1BADD
403	#C8C1E1
404	#CEC8E4
405	#D5CFE8
406	#DBD6EB
407	#E1DDEF
408	#E8E5F2
409	#EEECF6
410	#F5F3F9
411	#FBFBFD
412	#FEFCFC
413	#FAF4F3
414	#F7ECEB
415	#F3E5E3
416	#F0DDDA
417	#ECD5D2
418	#E9CECA
419	#E5C6C2
420	#E1BFBA
421	#776CB5
422	#7D73B9
423	#8479BC
424	#8A80C0
425	#9186C3
426	#978DC7
427	#9E94CA
428	#A49ACE
429	#ABA1D1
430	#B1A8D5
431	#B8AFD8
432	#BEB6DC
433	#C4BDDF
434	#CBC4E3
435	#D1CBE6
436	#D7D2EA
437	#DED9ED
438	#E4E1F1
439	#EBE8F4
440	#F1EFF8
441	#F8F7FB
442	#FEFEFE
443	#FCF8F8
444	#F9F1F0
445	#F5E9E7
446	#F2E1DF
447	#EED9D7
448	#EBD2CF
449	#E7CAC7
450	#E3C3BF
451	#7369B3
452	#7A6FB7
453	#8076BA
454	#877CBE
455	#8D83C1
456	#9489C5
457	#9A90C8
458	#A197CC
459	#A79ECF
460	#AEA4D3
461	#B4ABD6
462	#BAB2DA
463	#C1B9DD
464	#C7C0E1
465	#CEC7E4
466	#D4CEE8
467	#DAD5EB
468	#E1DDEF
469	#E7E4F2
470	#EEEBF6
471	#F4F2F9
472	#FAFAFD
473	#FEFDFC
474	#FBF5F4
475	#F7EDEC
476	#F4E5E3
477	#F0DEDB
