group	fill
1	#A49ACD
2	#AAA1D1
3	#B1A7D4
4	#B7AED8
5	#BDB5DB
6	#C3BCDE
7	#C9C3E2
8	#D0C9E5
9	#D6D0E9
10	#DCD7EC
11	#E2DEEF
12	#E9E5F3
13	#EFEDF6
14	#F5F4FA
15	#FBFBFD
16	#FEFCFC
17	#FAF4F3
18	#F7EDEB
19	#F4E5E3
20	#F0DEDB
21	#EDD6D3
22	#E9CFCB
23	#E5C7C4
24	#E2C0BC
25	#DEB9B4
26	#DAB2AC
27	#D6AAA5
28	#D2A39D
29	#CF9C96
30	#CA958E
31	#A197CC
32	#A79DCF
33	#ADA4D2
34	#B3ABD6
35	#BAB1D9
36	#C0B8DD
37	#C6BFE0
38	#CCC6E3
39	#D3CDE7
40	#D9D4EA
41	#DFDBEE
42	#E5E2F1
43	#EBE9F4
44	#F2F0F8
45	#F8F7FB
46	#FEFEFF
47	#FCF8F8
48	#F9F1F0
49	#F5E9E8
50	#F2E2E0
51	#EFDAD8
52	#EBD3D0
53	#E7CBC8
54	#E4C4C0
55	#E0BDB8
56	#DCB5B1
57	#D8AEA9
58	#D5A7A1
59	#D1A09A
60	#CD9992
61	#9D93CA
62	#A49ACD
63	#AAA0D1
64	#B0A7D4
65	#B6AED7
66	#BCB4DB
67	#C3BBDE
68	#C9C2E2
69	#CFC9E5
70	#D5D0E8
71	#DCD7EC
72	#E2DEEF
73	#E8E5F3
74	#EEECF6
75	#F5F3F9
76	#FBFAFD
77	#FEFCFC
78	#FBF5F4
79	#F7EDEC
80	#F4E6E4
81	#F0DEDC
82	#EDD7D4
83	#E9CFCC
84	#E6C8C4
85	#E2C1BC
86	#DEB9B5
87	#DBB2AD
88	#D7ABA5
89	#D3A49E
90	#CF9C96
91	#9A90C8
92	#A096CB
93	#A69DCF
94	#ADA3D2
95	#B3AAD6
96	#B9B1D9
97	#BFB8DC
98	#C6BEE0
99	#CCC5E3
100	#D2CCE7
101	#D8D3EA
102	#DFDAED
103	#E5E1F1
104	#EBE8F4
105	#F1EFF8
106	#F8F6FB
107	#FEFEFE
108	#FCF9F8
109	#F9F1F0
110	#F6EAE8
111	#F2E2E0
112	#EFDBD8
113	#EBD3D0
114	#E8CCC8
115	#E4C5C1
116	#E0BDB9
117	#DDB6B1
118	#D9AFA9
119	#D5A8A2
120	#D1A09A
121	#968CC6
122	#9D93CA
123	#A399CD
124	#A9A0D0
125	#B0A6D4
126	#B6ADD7
127	#BCB4DB
128	#C2BBDE
129	#C8C2E1
130	#CFC8E5
131	#D5CFE8
132	#DBD6EC
133	#E1DDEF
134	#E8E4F2
135	#EEEBF6
136	#F4F3F9
137	#FAFAFD
138	#FEFDFD
139	#FBF5F5
140	#F8EEED
141	#F4E6E4
142	#F1DFDC
143	#EDD7D4
144	#EAD0CD
145	#E6C9C5
146	#E2C1BD
147	#DFBAB5
148	#DBB3AE
149	#D7ABA6
150	#D3A49E
151	#9389C4
152	#998FC8
153	#A096CB
154	#A69CCE
155	#ACA3D2
156	#B2AAD5
157	#B9B0D9
158	#BFB7DC
159	#C5BEE0
160	#CBC5E3
161	#D2CCE6
162	#D8D3EA
163	#DEDAED
164	#E4E1F1
165	#EBE8F4
166	#F1EFF7
167	#F7F6FB
168	#FDFDFE
169	#FDF9F9
170	#F9F2F1
171	#F6EAE9
172	#F3E3E1
173	#EFDBD9
174	#ECD4D1
175	#E8CDC9
176	#E4C5C1
177	#E1BEB9
178	#DDB7B2
179	#D9AFAA
180	#D5A8A2
181	#9085C2
182	#968CC6
183	#9C92C9
184	#A399CD
185	#A99FD0
186	#AFA6D3
187	#B5ADD7
188	#BCB3DA
189	#C2BADE
190	#C8C1E1
191	#CEC8E5
192	#D4CFE8
193	#DBD6EB
194	#E1DDEF
195	#E7E4F2
196	#EDEBF5
197	#F4F2F9
198	#FAF9FC
199	#FEFEFD
200	#FBF6F5
201	#F8EEED
202	#F4E7E5
203	#F1DFDD
204	#EDD8D5
205	#EAD0CD
206	#E6C9C5
207	#E3C2BE
208	#DFBAB6
209	#DBB3AE
210	#D7ACA7
211	#8C82C1
212	#9388C4
213	#998FC7
214	#9F95CB
215	#A59CCE
216	#ACA2D2
217	#B2A9D5
218	#B8B0D8
219	#BEB7DC
220	#C5BDDF
221	#CBC4E3
222	#D1CBE6
223	#D7D2E9
224	#DED9ED
225	#E4E0F0
226	#EAE7F4
227	#F0EEF7
228	#F7F5FA
229	#FDFDFE
230	#FDFAFA
231	#FAF2F1
232	#F6EBE9
233	#F3E3E1
234	#EFDCD9
235	#ECD4D1
236	#E8CDCA
237	#E5C6C2
238	#E1BEBA
239	#DDB7B2
240	#D9B0AB
241	#897EBF
242	#8F85C2
243	#968BC6
244	#9C92C9
245	#A298CC
246	#A89FD0
247	#AFA5D3
248	#B5ACD7
249	#BBB3DA
250	#C1BADD
251	#C8C1E1
252	#CEC7E4
253	#D4CEE8
254	#DAD5EB
255	#E0DCEE
