group	fill
1	#F8EFEE
2	#F7ECEB
3	#F5E8E7
4	#F3E4E2
5	#F1E0DE
6	#F0DDDA
7	#EED9D6
8	#ECD6D3
9	#EBD2CF
10	#E9CFCC
11	#E7CBC8
12	#E5C7C3
13	#E3C3BF
14	#E1BFBB
15	#DFBBB6
16	#DDB7B2
17	#DBB3AE
18	#D8ADA8
19	#D5A7A2
20	#D1A19B
21	#CE9C95
22	#CD9992
23	#CB968F
24	#C9938C
25	#C78F88
26	#C58B84
27	#C28780
28	#C0837C
29	#BD7E77
30	#BB7A73
31	#FDFBFB
32	#FCF9F8
33	#FBF5F4
34	#F9F1F0
35	#F7EDEC
36	#F6E9E8
37	#F4E6E4
38	#F2E3E1
39	#F1DFDD
40	#EFDCD9
41	#EED8D6
42	#ECD4D1
43	#EAD0CD
44	#E8CCC8
45	#E6C8C4
46	#E3C3BF
47	#E1BFBB
48	#DEBAB5
49	#DBB3AE
50	#D8ADA8
51	#D5A7A1
52	#D1A19B
53	#D09E98
54	#CE9B95
55	#CC9892
56	#CA948E
57	#C8908A
58	#C58C85
59	#C38881
60	#C0837C
61	#F8F7FB
62	#FAF9FC
63	#FDFCFE
64	#FEFEFE
65	#FDFAFA
66	#FBF7F6
67	#FAF3F2
68	#F8F0EE
69	#F7ECEB
70	#F5E8E7
71	#F3E5E3
72	#F2E1DF
73	#F0DDDA
74	#EED9D6
75	#ECD4D1
76	#EAD0CD
77	#E8CCC8
78	#E5C6C2
79	#E2C0BB
80	#DEB9B5
81	#DBB3AE
82	#D8ADA8
83	#D5A7A1
84	#D3A39D
85	#D1A09A
86	#CF9D97
87	#CD9A94
88	#CB968F
89	#C9918B
90	#C68C86
91	#EDEBF6
92	#EFEDF6
93	#F2F1F8
94	#F6F4FA
95	#F9F8FB
96	#FBFBFD
97	#FEFEFF
98	#FEFCFC
99	#FCF8F8
100	#FBF5F4
101	#F9F1F0
102	#F7EEEC
103	#F6EAE8
104	#F4E5E4
105	#F2E1DF
106	#F0DDDA
107	#EED9D6
108	#EBD2CF
109	#E8CCC8
110	#E5C6C2
111	#E1C0BB
112	#DEB9B5
113	#DBB3AE
114	#D8ADA8
115	#D5A9A3
116	#D4A6A0
117	#D2A39D
118	#D09F99
119	#CE9A94
120	#CB958F
121	#E4E0F0
122	#E5E2F1
123	#E8E5F3
124	#EBE8F4
125	#EEECF6
126	#F1EFF7
127	#F4F2F9
128	#F7F6FB
129	#FAF9FC
130	#FDFDFE
131	#FEFEFE
132	#FDFAFA
133	#FBF7F6
134	#FAF2F1
135	#F8EEED
136	#F6EAE8
137	#F4E5E3
138	#F1DFDC
139	#EED8D6
140	#EBD2CF
141	#E8CCC8
142	#E5C6C2
143	#E1BFBB
144	#DEB9B4
145	#DBB3AE
146	#D8AEA9
147	#D7ABA6
148	#D5A7A2
149	#D3A39D
150	#CF9E98
151	#DAD5EB
152	#DCD7EC
153	#DED9ED
154	#E1DDEF
155	#E4E0F0
156	#E7E3F2
157	#EAE7F3
158	#EDEAF5
159	#F0EDF7
160	#F3F1F8
161	#F6F4FA
162	#F9F8FC
163	#FCFBFD
164	#FFFFFF
165	#FDFBFB
166	#FBF7F6
167	#F9F2F1
168	#F6EBEA
169	#F4E5E3
170	#F1DFDC
171	#EED8D6
172	#EBD2CF
173	#E8CCC8
174	#E4C5C1
175	#E1BFBB
176	#DEB9B4
177	#DBB3AE
178	#D9AFAA
179	#D7ABA5
180	#D3A49E
181	#D0CAE5
182	#D1CBE6
183	#D3CEE7
184	#D6D1E9
185	#D9D4EB
186	#DCD8EC
187	#DFDBEE
188	#E2DEEF
189	#E5E2F1
190	#E8E5F3
191	#EBE8F4
192	#EEECF6
193	#F1EFF8
194	#F4F3F9
195	#F7F6FB
196	#FBFAFD
197	#FFFFFF
198	#FCF8F8
199	#F9F2F1
200	#F6EBEA
201	#F3E5E3
202	#F1DFDC
203	#EED8D5
204	#EBD2CF
205	#E7CCC8
206	#E4C5C1
207	#E0BEB9
208	#DDB7B3
209	#D9B0AB
210	#D5A8A3
211	#C6BEE0
212	#C7C0E1
213	#C9C2E2
214	#CCC5E3
215	#CFC9E5
216	#D2CCE7
217	#D5CFE8
218	#D8D3EA
219	#DBD6EB
220	#DED9ED
221	#E1DDEF
222	#E4E0F0
223	#E7E3F2
224	#EAE7F4
225	#EDEAF5
