xmin	xmax	clickSelects	PANEL	group
464.5	465.5	neural.network 465	2	143
474.5	475.5	neural.network 475	2	144
484.5	485.5	neural.network 485	2	145
494.5	495.5	neural.network 495	2	146
504.5	505.5	neural.network 505	2	147
514.5	515.5	neural.network 515	2	149
524.5	525.5	neural.network 525	2	150
534.5	535.5	neural.network 535	2	151
544.5	545.5	neural.network 545	2	152
555.5	556.5	neural.network 556	2	153
565.5	566.5	neural.network 566	2	154
575.5	576.5	neural.network 576	2	155
585.5	586.5	neural.network 586	2	156
595.5	596.5	neural.network 596	2	157
605.5	606.5	neural.network 606	2	158
615.5	616.5	neural.network 616	2	160
625.5	626.5	neural.network 626	2	161
635.5	636.5	neural.network 636	2	162
645.5	646.5	neural.network 646	2	163
655.5	656.5	neural.network 656	2	164
666.5	667.5	neural.network 667	2	165
676.5	677.5	neural.network 677	2	166
686.5	687.5	neural.network 687	2	167
696.5	697.5	neural.network 697	2	168
706.5	707.5	neural.network 707	2	169
716.5	717.5	neural.network 717	2	171
726.5	727.5	neural.network 727	2	172
736.5	737.5	neural.network 737	2	173
746.5	747.5	neural.network 747	2	174
756.5	757.5	neural.network 757	2	175
766.5	767.5	neural.network 767	2	176
777.5	778.5	neural.network 778	2	177
787.5	788.5	neural.network 788	2	178
797.5	798.5	neural.network 798	2	179
807.5	808.5	neural.network 808	2	180
817.5	818.5	neural.network 818	2	182
827.5	828.5	neural.network 828	2	183
837.5	838.5	neural.network 838	2	184
847.5	848.5	neural.network 848	2	185
857.5	858.5	neural.network 858	2	186
867.5	868.5	neural.network 868	2	187
877.5	878.5	neural.network 878	2	188
888.5	889.5	neural.network 889	2	189
898.5	899.5	neural.network 899	2	190
908.5	909.5	neural.network 909	2	191
918.5	919.5	neural.network 919	2	193
928.5	929.5	neural.network 929	2	194
938.5	939.5	neural.network 939	2	195
948.5	949.5	neural.network 949	2	196
958.5	959.5	neural.network 959	2	197
968.5	969.5	neural.network 969	2	198
978.5	979.5	neural.network 979	2	199
988.5	989.5	neural.network 989	2	200
999.5	1000.5	neural.network 1000	2	102
0.5	1.5	linear.model 1	3	1
10.5	11.5	linear.model 11	3	4
20.5	21.5	linear.model 21	3	15
30.5	31.5	linear.model 31	3	26
40.5	41.5	linear.model 41	3	37
50.5	51.5	linear.model 51	3	48
60.5	61.5	linear.model 61	3	59
70.5	71.5	linear.model 71	3	70
80.5	81.5	linear.model 81	3	81
90.5	91.5	linear.model 91	3	92
100.5	101.5	linear.model 101	3	3
111.5	112.5	linear.model 112	3	5
121.5	122.5	linear.model 122	3	6
131.5	132.5	linear.model 132	3	7
141.5	142.5	linear.model 142	3	8
151.5	152.5	linear.model 152	3	9
161.5	162.5	linear.model 162	3	10
171.5	172.5	linear.model 172	3	11
181.5	182.5	linear.model 182	3	12
191.5	192.5	linear.model 192	3	13
201.5	202.5	linear.model 202	3	14
211.5	212.5	linear.model 212	3	16
222.5	223.5	linear.model 223	3	17
232.5	233.5	linear.model 233	3	18
242.5	243.5	linear.model 243	3	19
252.5	253.5	linear.model 253	3	20
262.5	263.5	linear.model 263	3	21
272.5	273.5	linear.model 273	3	22
282.5	283.5	linear.model 283	3	23
292.5	293.5	linear.model 293	3	24
302.5	303.5	linear.model 303	3	25
312.5	313.5	linear.model 313	3	27
322.5	323.5	linear.model 323	3	28
333.5	334.5	linear.model 334	3	29
343.5	344.5	linear.model 344	3	30
353.5	354.5	linear.model 354	3	31
363.5	364.5	linear.model 364	3	32
373.5	374.5	linear.model 374	3	33
383.5	384.5	linear.model 384	3	34
393.5	394.5	linear.model 394	3	35
403.5	404.5	linear.model 404	3	36
413.5	414.5	linear.model 414	3	38
423.5	424.5	linear.model 424	3	39
433.5	434.5	linear.model 434	3	40
444.5	445.5	linear.model 445	3	41
454.5	455.5	linear.model 455	3	42
464.5	465.5	linear.model 465	3	43
474.5	475.5	linear.model 475	3	44
484.5	485.5	linear.model 485	3	45
494.5	495.5	linear.model 495	3	46
504.5	505.5	linear.model 505	3	47
514.5	515.5	linear.model 515	3	49
524.5	525.5	linear.model 525	3	50
534.5	535.5	linear.model 535	3	51
544.5	545.5	linear.model 545	3	52
555.5	556.5	linear.model 556	3	53
565.5	566.5	linear.model 566	3	54
575.5	576.5	linear.model 576	3	55
585.5	586.5	linear.model 586	3	56
595.5	596.5	linear.model 596	3	57
605.5	606.5	linear.model 606	3	58
615.5	616.5	linear.model 616	3	60
625.5	626.5	linear.model 626	3	61
635.5	636.5	linear.model 636	3	62
645.5	646.5	linear.model 646	3	63
655.5	656.5	linear.model 656	3	64
666.5	667.5	linear.model 667	3	65
676.5	677.5	linear.model 677	3	66
686.5	687.5	linear.model 687	3	67
696.5	697.5	linear.model 697	3	68
706.5	707.5	linear.model 707	3	69
716.5	717.5	linear.model 717	3	71
726.5	727.5	linear.model 727	3	72
736.5	737.5	linear.model 737	3	73
746.5	747.5	linear.model 747	3	74
756.5	757.5	linear.model 757	3	75
766.5	767.5	linear.model 767	3	76
777.5	778.5	linear.model 778	3	77
787.5	788.5	linear.model 788	3	78
797.5	798.5	linear.model 798	3	79
807.5	808.5	linear.model 808	3	80
817.5	818.5	linear.model 818	3	82
827.5	828.5	linear.model 828	3	83
837.5	838.5	linear.model 838	3	84
847.5	848.5	linear.model 848	3	85
857.5	858.5	linear.model 858	3	86
867.5	868.5	linear.model 868	3	87
877.5	878.5	linear.model 878	3	88
888.5	889.5	linear.model 889	3	89
898.5	899.5	linear.model 899	3	90
908.5	909.5	linear.model 909	3	91
918.5	919.5	linear.model 919	3	93
928.5	929.5	linear.model 929	3	94
938.5	939.5	linear.model 939	3	95
948.5	949.5	linear.model 949	3	96
958.5	959.5	linear.model 959	3	97
968.5	969.5	linear.model 969	3	98
978.5	979.5	linear.model 979	3	99
988.5	989.5	linear.model 989	3	100
999.5	1000.5	linear.model 1000	3	2
0.5	1.5	neural.network 1	4	101
10.5	11.5	neural.network 11	4	104
20.5	21.5	neural.network 21	4	115
30.5	31.5	neural.network 31	4	126
40.5	41.5	neural.network 41	4	137
50.5	51.5	neural.network 51	4	148
60.5	61.5	neural.network 61	4	159
70.5	71.5	neural.network 71	4	170
80.5	81.5	neural.network 81	4	181
90.5	91.5	neural.network 91	4	192
100.5	101.5	neural.network 101	4	103
111.5	112.5	neural.network 112	4	105
121.5	122.5	neural.network 122	4	106
131.5	132.5	neural.network 132	4	107
141.5	142.5	neural.network 142	4	108
151.5	152.5	neural.network 152	4	109
161.5	162.5	neural.network 162	4	110
171.5	172.5	neural.network 172	4	111
181.5	182.5	neural.network 182	4	112
191.5	192.5	neural.network 192	4	113
201.5	202.5	neural.network 202	4	114
211.5	212.5	neural.network 212	4	116
222.5	223.5	neural.network 223	4	117
232.5	233.5	neural.network 233	4	118
242.5	243.5	neural.network 243	4	119
252.5	253.5	neural.network 253	4	120
262.5	263.5	neural.network 263	4	121
272.5	273.5	neural.network 273	4	122
282.5	283.5	neural.network 283	4	123
292.5	293.5	neural.network 293	4	124
302.5	303.5	neural.network 303	4	125
312.5	313.5	neural.network 313	4	127
322.5	323.5	neural.network 323	4	128
333.5	334.5	neural.network 334	4	129
343.5	344.5	neural.network 344	4	130
353.5	354.5	neural.network 354	4	131
363.5	364.5	neural.network 364	4	132
373.5	374.5	neural.network 374	4	133
383.5	384.5	neural.network 384	4	134
393.5	394.5	neural.network 394	4	135
403.5	404.5	neural.network 404	4	136
413.5	414.5	neural.network 414	4	138
423.5	424.5	neural.network 424	4	139
433.5	434.5	neural.network 434	4	140
444.5	445.5	neural.network 445	4	141
454.5	455.5	neural.network 455	4	142
464.5	465.5	neural.network 465	4	143
474.5	475.5	neural.network 475	4	144
484.5	485.5	neural.network 485	4	145
494.5	495.5	neural.network 495	4	146
504.5	505.5	neural.network 505	4	147
514.5	515.5	neural.network 515	4	149
524.5	525.5	neural.network 525	4	150
534.5	535.5	neural.network 535	4	151
544.5	545.5	neural.network 545	4	152
555.5	556.5	neural.network 556	4	153
565.5	566.5	neural.network 566	4	154
575.5	576.5	neural.network 576	4	155
585.5	586.5	neural.network 586	4	156
595.5	596.5	neural.network 596	4	157
605.5	606.5	neural.network 606	4	158
615.5	616.5	neural.network 616	4	160
625.5	626.5	neural.network 626	4	161
635.5	636.5	neural.network 636	4	162
645.5	646.5	neural.network 646	4	163
655.5	656.5	neural.network 656	4	164
666.5	667.5	neural.network 667	4	165
676.5	677.5	neural.network 677	4	166
686.5	687.5	neural.network 687	4	167
696.5	697.5	neural.network 697	4	168
706.5	707.5	neural.network 707	4	169
716.5	717.5	neural.network 717	4	171
726.5	727.5	neural.network 727	4	172
736.5	737.5	neural.network 737	4	173
746.5	747.5	neural.network 747	4	174
756.5	757.5	neural.network 757	4	175
766.5	767.5	neural.network 767	4	176
777.5	778.5	neural.network 778	4	177
787.5	788.5	neural.network 788	4	178
797.5	798.5	neural.network 798	4	179
807.5	808.5	neural.network 808	4	180
817.5	818.5	neural.network 818	4	182
827.5	828.5	neural.network 828	4	183
837.5	838.5	neural.network 838	4	184
847.5	848.5	neural.network 848	4	185
857.5	858.5	neural.network 858	4	186
867.5	868.5	neural.network 868	4	187
877.5	878.5	neural.network 878	4	188
888.5	889.5	neural.network 889	4	189
898.5	899.5	neural.network 899	4	190
908.5	909.5	neural.network 909	4	191
918.5	919.5	neural.network 919	4	193
928.5	929.5	neural.network 929	4	194
938.5	939.5	neural.network 939	4	195
948.5	949.5	neural.network 949	4	196
958.5	959.5	neural.network 959	4	197
968.5	969.5	neural.network 969	4	198
978.5	979.5	neural.network 979	4	199
988.5	989.5	neural.network 989	4	200
999.5	1000.5	neural.network 1000	4	102
