group	fill
1	#D9D4EA
2	#DDD9ED
3	#E3DFF0
4	#E9E5F3
5	#EEECF6
6	#F4F3F9
7	#FAF9FC
8	#FFFFFF
9	#FDF9F9
10	#FAF3F2
11	#F7EDEC
12	#F4E6E5
13	#F1DFDD
14	#EED8D5
15	#EAD1CE
16	#E7CAC6
17	#E3C2BE
18	#DFBBB7
19	#DCB4AF
20	#D8ADA8
21	#D6A9A4
22	#D4A6A1
23	#D3A49E
24	#D1A19B
25	#CE9B95
26	#C9928C
27	#C48A83
28	#BF817A
29	#BA7972
30	#B57169
31	#D2CCE6
32	#D5D0E8
33	#DBD6EB
34	#E1DDEF
35	#E7E3F2
36	#ECE9F5
37	#F1EFF7
38	#F6F5FA
39	#FBFBFD
40	#FEFDFD
41	#FCF7F7
42	#F9F1F0
43	#F5E9E8
44	#F2E2E0
45	#EFDBD8
46	#EBD3D0
47	#E8CCC8
48	#E4C5C1
49	#E0BDB9
50	#DDB6B1
51	#D9AFAA
52	#D8ADA8
53	#D7ABA5
54	#D5A7A2
55	#D2A29C
56	#CD9A93
57	#C8918B
58	#C38982
59	#BE8079
60	#B97871
61	#CBC4E3
62	#CEC7E4
63	#D3CEE7
64	#D9D4EA
65	#DFDAED
66	#E4E0F0
67	#E9E6F3
68	#EEECF6
69	#F3F2F9
70	#F9F8FC
71	#FEFEFE
72	#FDFAF9
73	#FAF3F2
74	#F7ECEA
75	#F3E4E2
76	#F0DDDA
77	#ECD6D3
78	#E9CECB
79	#E5C7C3
80	#E2C0BB
81	#DEB9B5
82	#DBB4AF
83	#DAB2AD
84	#D8ADA7
85	#D4A6A1
86	#D1A09A
87	#CC9892
88	#C89089
89	#C38780
90	#BD7F77
91	#C3BCDF
92	#C6BFE0
93	#CCC5E3
94	#D1CBE6
95	#D7D1E9
96	#DCD7EC
97	#E1DDEF
98	#E6E3F2
99	#ECE9F5
100	#F1EFF7
101	#F6F5FA
102	#FCFBFD
103	#FEFDFC
104	#FBF5F5
105	#F8EEED
106	#F4E7E5
107	#F1DFDD
108	#EDD8D5
109	#EAD0CD
110	#E6CAC6
111	#E3C3BF
112	#E0BDB8
113	#DEB8B3
114	#DAB2AC
115	#D7ABA6
116	#D3A49F
117	#D09E98
118	#CC9791
119	#C78F88
120	#C1847D
121	#BDB4DB
122	#C0B8DD
123	#C5BDDF
124	#CAC3E2
125	#CFC9E5
126	#D4CFE8
127	#DAD5EB
128	#DFDAEE
129	#E4E0F0
130	#E9E6F3
131	#EFECF6
132	#F4F3F9
133	#F9F9FC
134	#FFFFFF
135	#FCF8F7
136	#F9F0EF
137	#F5E9E7
138	#F2E1DF
139	#EEDAD7
140	#EBD4D1
141	#E8CDCA
142	#E5C7C3
143	#E1BEB9
144	#DDB6B1
145	#D9B0AB
146	#D6A9A4
147	#D2A39D
148	#CF9C96
149	#CA958E
150	#C48A84
151	#B6ADD7
152	#B9B1D9
153	#BDB5DB
154	#C2BBDE
155	#C7C0E1
156	#CDC6E4
157	#D2CCE7
158	#D7D2E9
159	#DDD8EC
160	#E2DEEF
161	#E7E4F2
162	#EDEAF5
163	#F2F0F8
164	#F7F6FB
165	#FDFDFE
166	#FDFAFA
167	#FAF3F2
168	#F6EBEA
169	#F3E4E2
170	#F0DEDB
171	#EDD7D5
172	#E9D0CC
173	#E4C6C2
174	#DFBBB7
175	#DCB5B0
176	#D8AEA9
177	#D5A7A2
178	#D1A09A
179	#CC9892
180	#C89089
181	#AFA6D4
182	#B2A9D5
183	#B5ADD7
184	#BBB2DA
185	#C0B8DD
186	#C5BEE0
187	#CBC4E2
188	#D0CAE5
189	#D5D0E8
190	#DAD5EB
191	#E0DBEE
192	#E5E1F1
193	#EAE7F4
194	#F0EDF7
195	#F5F4FA
196	#FBFAFD
197	#FEFCFC
198	#FBF5F4
199	#F8EFED
200	#F5E8E6
201	#F2E1DF
202	#EDD8D5
203	#E8CDCA
204	#E3C3BF
205	#DEB9B5
206	#DBB3AE
207	#D7ACA7
208	#D3A49E
209	#CE9C96
210	#CA948D
211	#A89ED0
212	#ABA1D1
213	#AEA5D3
214	#B3AAD6
215	#B8B0D9
216	#BEB6DB
217	#C3BCDE
218	#C8C1E1
219	#CEC7E4
220	#D3CDE7
221	#D8D3EA
222	#DED9ED
223	#E3DFF0
224	#E8E5F3
225	#EDEBF5
226	#F3F1F8
227	#F9F8FC
228	#FFFFFF
229	#FCF9F8
230	#FAF2F1
231	#F6EAE8
232	#F1DFDD
233	#ECD5D2
234	#E7CBC7
235	#E2C1BC
236	#DDB7B3
237	#D9B0AA
238	#D5A8A2
239	#D09F99
240	#CC9791
241	#A197CC
242	#A49ACD
243	#A79DCF
244	#ACA2D2
245	#B1A8D4
246	#B6AED7
247	#BCB3DA
248	#C1B9DD
249	#C6BFE0
250	#CBC5E3
251	#D1CBE6
252	#D6D1E9
253	#DBD6EC
254	#E1DCEF
255	#E6E2F1
256	#EBE8F4
257	#F1EFF7
258	#F6F5FA
259	#FBFBFD
260	#FEFCFC
261	#F9F2F1
262	#F5E7E6
263	#F0DDDA
264	#EBD3CF
265	#E6C8C5
266	#E1BEB9
267	#DBB3AE
268	#D7ABA6
269	#D2A39D
270	#CD9A93
271	#9A8FC8
272	#9C92C9
273	#9F95CB
274	#A49ACD
275	#A9A0D0
276	#AFA6D3
277	#B4ABD6
278	#B9B1D9
279	#BFB7DC
280	#C4BDDF
281	#C9C2E2
282	#CEC8E5
283	#D4CEE8
284	#D9D4EA
285	#DEDAED
286	#E4E0F0
287	#E8E5F3
288	#EEEBF6
289	#F3F1F9
290	#FBFAFD
291	#FDFAF9
292	#F8EFEE
293	#F3E5E3
294	#EFDAD8
295	#EAD0CD
296	#E4C4C0
297	#DEB8B3
298	#D9AFAA
299	#D3A49E
300	#CD9993
301	#9288C4
302	#958BC5
303	#988EC7
304	#9C92C9
305	#A298CC
306	#A79DCF
307	#ACA3D2
308	#B2A9D5
309	#B7AFD8
310	#BCB4DB
311	#C2BADE
312	#C7C0E1
313	#CCC6E3
314	#D2CCE6
315	#D7D1E9
316	#DCD7EC
317	#E0DCEE
318	#E5E1F1
319	#EBE9F4
320	#F4F3F9
321	#FDFCFE
322	#FCF7F7
323	#F7EDEB
324	#F2E2E0
325	#EDD7D4
326	#E7CBC7
327	#E1BEB9
328	#D9AFAA
329	#D3A49E
330	#CD9A94
331	#8B81C0
332	#8E83C2
333	#9187C3
334	#958AC5
335	#9A90C8
336	#A096CB
337	#A59BCE
338	#AAA1D1
339	#B0A6D4
340	#B5ACD7
341	#BAB2DA
342	#BFB8DC
343	#C5BDDF
344	#CAC3E2
345	#CFC9E5
346	#D4CEE8
347	#D8D3EA
348	#DDD9ED
349	#E5E1F1
350	#EEEBF6
351	#F6F5FA
352	#FFFFFF
353	#FBF5F4
354	#F6E9E8
355	#F0DDDB
356	#E9CFCC
357	#E2C1BD
358	#DBB3AE
359	#D4A5A0
360	#CE9B94
361	#8479BC
362	#877CBE
363	#8A7FBF
364	#8D83C1
365	#9388C4
366	#988EC7
367	#9D93CA
368	#A399CD
369	#A89ED0
370	#ADA4D3
371	#B3AAD5
372	#B8AFD8
373	#BDB5DB
374	#C3BBDE
375	#C7C0E1
376	#CCC5E3
377	#D0CAE6
378	#D7D1E9
379	#DEDAED
380	#E7E4F2
381	#F0EDF7
382	#F8F7FB
383	#FEFDFD
384	#F8F0EF
385	#F2E1DF
386	#EBD3D0
387	#E4C5C1
388	#DDB7B2
389	#D5A8A3
390	#CE9C96
391	#7D72B8
392	#8075BA
393	#8378BB
394	#867BBD
395	#8B80C0
396	#9086C3
397	#968BC6
398	#9B91C9
399	#A096CC
400	#A69CCE
401	#ABA2D1
402	#B0A7D4
403	#B6ADD7
