group	fill
1	#FDFDFE
2	#FEFDFD
3	#FCF9F8
4	#FAF4F3
5	#F8EFED
6	#F6EAE8
7	#F4E5E3
8	#F2E1DF
9	#F0DDDA
10	#EED8D6
11	#ECD4D1
12	#E9CFCB
13	#E7CAC6
14	#E4C5C1
15	#E2C0BB
16	#DFBAB6
17	#DCB5B0
18	#D9B0AB
19	#D6A9A4
20	#D3A39D
21	#D09E98
22	#CE9B95
23	#CC9892
24	#CB958F
25	#C8918A
26	#C68C86
27	#C38881
28	#C1847D
29	#BE7F78
30	#BB7B74
31	#F4F2F9
32	#F7F5FA
33	#FAFAFD
34	#FFFFFF
35	#FDFAFA
36	#FBF6F5
37	#F9F2F1
38	#F7EDEC
39	#F5E9E7
40	#F3E5E3
41	#F1E0DE
42	#EFDBD8
43	#ECD6D3
44	#EAD1CD
45	#E7CBC8
46	#E5C6C2
47	#E2C1BD
48	#DFBBB7
49	#DCB5B0
50	#D9AFA9
51	#D5A8A3
52	#D2A39D
53	#D1A09A
54	#CF9D97
55	#CD9A94
56	#CB9690
57	#C9928B
58	#C68D87
59	#C48982
60	#C1847D
61	#EAE7F4
62	#EDEAF5
63	#F1EFF7
64	#F5F3FA
65	#F9F8FC
66	#FCFCFE
67	#FFFEFE
68	#FDF9F9
69	#FBF5F4
70	#F9F0EF
71	#F7ECEA
72	#F4E7E5
73	#F2E2E0
74	#F0DDDA
75	#EDD7D4
76	#EBD2CF
77	#E8CDC9
78	#E5C7C3
79	#E2C0BC
80	#DFBAB5
81	#DBB4AF
82	#D8ADA8
83	#D5A8A2
84	#D3A59F
85	#D2A29C
86	#D09F99
87	#CE9B95
88	#CC9791
89	#C9928C
90	#C68D86
91	#E1DDEF
92	#E3DFF0
93	#E7E4F2
94	#EBE8F4
95	#EFECF6
96	#F2F1F8
97	#F6F5FA
98	#FAF9FC
99	#FEFEFE
100	#FEFCFC
101	#FCF7F7
102	#FAF3F2
103	#F8EEED
104	#F5E9E7
105	#F3E3E1
106	#F0DEDC
107	#EED9D6
108	#EBD3CF
109	#E8CCC8
110	#E5C6C2
111	#E1BFBB
112	#DEB9B4
113	#DBB2AD
114	#D8ADA7
115	#D6AAA4
116	#D4A7A1
117	#D3A49E
118	#D1A09B
119	#CE9B95
120	#CA958E
121	#D8D2EA
122	#DAD5EB
123	#DED9ED
124	#E1DDEF
125	#E5E1F1
126	#E9E6F3
127	#EDEAF5
128	#F0EEF7
129	#F4F3F9
130	#F8F7FB
131	#FCFBFD
132	#FFFEFE
133	#FDFAF9
134	#FBF5F4
135	#F8EFEE
136	#F6EAE8
137	#F3E5E3
138	#F0DEDC
139	#EDD8D5
140	#EAD1CE
141	#E7CBC7
142	#E4C4C0
143	#E1BEB9
144	#DDB7B3
145	#DAB2AD
146	#D9AFA9
