group	colour	showSelected3
1	#000000	error
2	#FFFFFF	correct
3	#000000	error
4	#000000	error
5	#FFFFFF	correct
6	#FFFFFF	correct
7	#000000	error
8	#000000	error
9	#000000	error
10	#000000	error
11	#000000	error
12	#FFFFFF	correct
13	#000000	error
14	#000000	error
15	#000000	error
16	#FFFFFF	correct
17	#FFFFFF	correct
18	#000000	error
19	#FFFFFF	correct
20	#000000	error
21	#000000	error
22	#000000	error
23	#000000	error
24	#000000	error
25	#FFFFFF	correct
26	#000000	error
27	#000000	error
28	#FFFFFF	correct
29	#000000	error
30	#000000	error
31	#FFFFFF	correct
32	#000000	error
33	#000000	error
34	#000000	error
35	#000000	error
36	#FFFFFF	correct
37	#000000	error
38	#FFFFFF	correct
39	#000000	error
40	#FFFFFF	correct
41	#000000	error
42	#000000	error
43	#000000	error
44	#FFFFFF	correct
45	#FFFFFF	correct
46	#FFFFFF	correct
47	#FFFFFF	correct
48	#000000	error
49	#FFFFFF	correct
50	#000000	error
51	#000000	error
52	#000000	error
53	#000000	error
54	#000000	error
55	#FFFFFF	correct
56	#FFFFFF	correct
57	#000000	error
58	#000000	error
59	#000000	error
60	#000000	error
61	#FFFFFF	correct
62	#000000	error
63	#000000	error
64	#FFFFFF	correct
65	#000000	error
66	#000000	error
67	#000000	error
68	#FFFFFF	correct
69	#000000	error
70	#FFFFFF	correct
71	#000000	error
72	#000000	error
73	#000000	error
74	#FFFFFF	correct
75	#000000	error
76	#000000	error
77	#000000	error
78	#FFFFFF	correct
79	#000000	error
80	#000000	error
81	#000000	error
82	#000000	error
83	#FFFFFF	correct
84	#000000	error
85	#FFFFFF	correct
86	#000000	error
87	#FFFFFF	correct
88	#000000	error
89	#000000	error
90	#000000	error
91	#000000	error
92	#FFFFFF	correct
93	#FFFFFF	correct
94	#000000	error
95	#FFFFFF	correct
96	#000000	error
97	#000000	error
98	#000000	error
99	#000000	error
100	#000000	error
