group	fill
1	#AAA1D1
2	#B1A8D4
3	#B7AFD8
4	#BEB6DB
5	#C4BDDF
6	#CBC4E3
7	#D1CBE6
8	#D8D2EA
9	#DEDAED
10	#E5E1F1
11	#EBE8F4
12	#F2F0F8
13	#F8F7FB
14	#FFFFFF
15	#FCF7F7
16	#F8EFEE
17	#F5E8E6
18	#F1E0DE
19	#EDD8D5
20	#EAD0CD
21	#E6C9C5
22	#E2C1BD
23	#DEB9B5
24	#DAB2AD
25	#D6AAA5
26	#D2A39D
27	#CE9B95
28	#CA948D
29	#C68C86
30	#C1857E
31	#A79DCF
32	#ADA4D2
33	#B4ABD6
34	#BAB2DA
35	#C1B9DD
36	#C7C0E1
37	#CEC7E4
38	#D4CEE8
39	#DBD6EB
40	#E1DDEF
41	#E8E4F2
42	#EEECF6
43	#F5F3F9
44	#FBFBFD
45	#FEFCFB
46	#FAF4F3
47	#F7ECEA
48	#F3E4E2
49	#EFDCDA
50	#ECD5D1
51	#E8CDC9
52	#E4C5C1
53	#E0BDB9
54	#DDB6B1
55	#D9AEA9
56	#D4A7A1
57	#D09F99
58	#CC9892
59	#C8908A
60	#C48982
61	#A399CD
62	#AAA0D0
63	#B0A7D4
64	#B7AED8
65	#BDB5DB
66	#C4BCDF
67	#CAC3E2
68	#D1CAE6
69	#D7D2E9
70	#DED9ED
71	#E4E0F0
72	#EBE8F4
73	#F1EFF7
74	#F8F7FB
75	#FEFEFF
76	#FCF8F8
77	#F9F0EF
78	#F5E8E7
79	#F1E1DE
80	#EED9D6
81	#EAD1CE
82	#E6C9C6
83	#E3C2BD
84	#DFBAB5
85	#DBB2AD
86	#D7ABA5
87	#D3A39E
88	#CF9C96
89	#CA948E
90	#C68D86
91	#9F95CB
92	#A69CCF
93	#ACA3D2
94	#B3AAD6
95	#BAB1D9
96	#C0B8DD
97	#C6BFE0
98	#CDC7E4
99	#D3CEE7
100	#DAD5EB
101	#E0DCEE
102	#E7E4F2
103	#EEEBF6
104	#F4F2F9
105	#FBFAFD
106	#FEFCFC
107	#FAF5F4
108	#F7EDEB
109	#F3E5E3
110	#F0DDDB
111	#ECD5D2
112	#E8CECA
113	#E5C6C2
114	#E1BEBA
115	#DDB7B2
116	#D9AFAA
117	#D5A8A2
118	#D1A09A
119	#CD9992
120	#C8918B
121	#9C92C9
122	#A298CD
123	#A99FD0
124	#AFA6D4
125	#B6ADD7
126	#BCB4DB
127	#C3BBDE
128	#C9C3E2
