group	fill
1	#EED9D7
2	#EDD7D5
3	#ECD5D2
4	#EBD2CF
5	#EAD0CD
6	#E8CDCA
7	#E7CBC7
8	#E6C9C5
9	#E5C7C3
10	#E4C4C0
11	#E3C2BE
12	#E1BFBB
13	#E0BCB8
14	#DEB9B5
15	#DDB6B2
16	#DBB3AE
17	#D9AFAA
18	#D6A9A4
19	#D3A39E
20	#D09E98
21	#CE9B95
22	#CC9891
23	#CA958E
24	#C9928B
25	#C78E87
26	#C48A83
27	#C1857E
28	#BE8079
29	#BB7B73
30	#B8766E
31	#F4E7E5
32	#F4E5E3
33	#F2E3E1
34	#F1E0DE
35	#F0DDDB
36	#EFDBD8
37	#EED9D6
38	#EDD7D4
39	#ECD4D1
40	#EBD2CF
41	#EAD0CD
42	#E8CDCA
43	#E7CAC6
44	#E5C7C3
45	#E4C4C0
46	#E2C1BD
47	#E0BCB8
48	#DDB6B2
49	#DAB0AB
50	#D7ABA5
51	#D3A59F
52	#D1A19B
53	#CF9D97
54	#CE9A94
55	#CC9791
56	#C9928C
57	#C68D87
58	#C38881
59	#C0837C
60	#BD7E77
61	#FAF4F4
62	#FAF3F2
63	#F9F0EF
64	#F7EEEC
65	#F6EBEA
66	#F5E9E7
67	#F4E7E5
68	#F3E4E3
69	#F2E2E0
70	#F1E0DD
71	#F0DDDB
72	#EFDBD8
73	#EDD8D5
74	#ECD5D2
75	#EBD2CF
76	#E9CFCB
77	#E7CAC6
78	#E4C4C0
79	#E1BEB9
80	#DDB8B3
81	#DAB2AD
82	#D7ACA6
83	#D4A6A1
84	#D2A39D
85	#D09F99
86	#CE9B95
87	#CB9690
88	#C8918A
89	#C58C85
90	#C28780
91	#FDFCFE
92	#FEFDFE
93	#FFFEFE
94	#FEFBFB
95	#FCF9F9
96	#FBF7F6
97	#FAF4F4
98	#F9F2F1
99	#F8F0EF
100	#F7EDEC
101	#F6EBE9
102	#F5E9E7
103	#F4E6E4
104	#F3E3E1
105	#F1E0DE
106	#F0DDDA
107	#EDD7D4
108	#EAD1CE
109	#E7CBC7
110	#E4C5C1
111	#E1BFBB
112	#DEB9B4
113	#DBB3AE
114	#D8ACA7
115	#D5A7A1
116	#D2A39D
117	#D09E98
118	#CD9A94
119	#CA958E
120	#C79089
121	#F2F0F8
122	#F3F1F8
123	#F5F3F9
124	#F6F5FA
125	#F8F7FB
126	#FAFAFC
127	#FCFCFE
128	#FEFEFF
129	#FEFDFD
130	#FDFBFB
131	#FCF9F8
132	#FBF6F6
133	#FAF4F3
134	#F9F1F0
135	#F8EEED
136	#F6EBE9
137	#F3E5E3
138	#F1DFDC
139	#EED9D6
140	#EBD2CF
141	#E8CCC9
142	#E5C6C2
143	#E2C0BC
144	#DEB9B4
145	#DAB1AC
146	#D7ABA5
147	#D4A6A0
148	#D2A29C
149	#CF9D97
150	#CC9892
151	#E7E3F2
152	#E8E4F2
153	#E9E6F3
154	#EBE8F4
155	#EDEAF5
156	#EFEDF6
157	#F1EFF7
158	#F3F1F8
159	#F5F3FA
160	#F7F6FB
161	#F9F8FC
162	#FBFAFD
163	#FDFDFE
164	#FFFFFF
165	#FEFCFC
166	#FCF9F8
167	#FAF3F2
168	#F7ECEB
169	#F4E6E4
170	#F1E0DE
171	#EEDAD7
172	#EBD4D1
173	#E8CCC9
174	#E4C5C1
175	#E1BEB9
176	#DDB7B2
177	#D9AFAA
178	#D6AAA4
179	#D4A59F
180	#D09E98
181	#DCD7EC
182	#DCD8EC
183	#DED9ED
184	#E0DBEE
185	#E2DEEF
186	#E4E0F0
187	#E6E2F1
188	#E8E4F2
189	#EAE7F3
190	#ECE9F4
191	#EEEBF6
192	#F0EDF7
193	#F1F0F8
194	#F3F2F9
195	#F6F4FA
196	#F9F8FC
197	#FEFEFE
198	#FDFAFA
199	#FAF4F3
200	#F7EEEC
201	#F5E8E6
202	#F1E0DE
203	#EED9D6
204	#EAD2CE
205	#E7CAC6
206	#E3C3BF
207	#DFBCB7
208	#DCB4AF
209	#D7ACA6
210	#D3A39D
211	#D0CAE6
212	#D1CBE6
213	#D3CDE7
214	#D4CFE8
215	#D6D1E9
216	#D8D3EA
217	#DAD5EB
218	#DCD8EC
219	#DEDAED
220	#E0DCEE
221	#E2DEEF
222	#E4E0F0
223	#E6E3F2
224	#E8E5F3
225	#EAE7F4
226	#EDEBF5
227	#F2F1F8
228	#F8F7FB
229	#FDFCFE
230	#FEFBFB
231	#FBF5F4
232	#F7EDEC
233	#F4E6E4
234	#F0DEDC
235	#EDD7D4
236	#E9CFCC
237	#E6C8C4
238	#E1BFBB
239	#DCB4AF
240	#D6AAA4
241	#C5BEE0
242	#C6BFE0
243	#C7C0E1
244	#C9C2E2
245	#CBC5E3
246	#CDC7E4
247	#CFC9E5
248	#D1CBE6
249	#D3CDE7
250	#D5CFE8
251	#D7D2E9
252	#D9D4EA
253	#DBD6EB
254	#DDD8EC
255	#DFDAEE
256	#E2DEEF
257	#E7E4F2
258	#ECEAF5
259	#F1EFF8
260	#F7F5FB
261	#FDFDFE
262	#FDFAFA
263	#FAF2F1
264	#F6EBE9
265	#F3E3E1
266	#EFDCD9
267	#EBD3D0
268	#E6C8C5
269	#DFBCB7
270	#D8ADA8
271	#BCB4DB
272	#BDB4DB
273	#BDB5DB
274	#BEB6DC
275	#C0B8DD
276	#C2BADE
277	#C4BCDF
278	#C6BFE0
279	#C8C1E1
280	#CAC3E2
281	#CCC5E3
282	#CEC7E4
283	#D0C9E5
284	#D2CCE6
285	#D4CEE7
286	#D7D1E9
287	#DCD7EC
288	#E1DDEF
289	#E6E2F1
290	#ECE9F5
291	#F2F1F8
292	#F9F8FC
293	#FFFFFF
294	#FCF8F7
295	#F9F0EF
296	#F5E8E6
297	#F0DCDA
298	#E9CECA
299	#E1BFBB
300	#DAB1AB
301	#B3AAD6
302	#B3AAD6
303	#B4ABD6
304	#B5ACD7
305	#B6AED7
306	#B8AFD8
307	#B9B1D9
308	#BBB3DA
309	#BCB4DB
310	#BEB7DC
311	#C0B9DD
312	#C2BBDE
313	#C4BDDF
314	#C6BFE0
315	#C8C1E1
316	#CCC5E3
317	#D0CAE6
318	#D5D0E8
319	#DBD6EC
320	#E2DDEF
321	#E8E5F2
322	#EEECF6
323	#F4F3F9
324	#FBFAFD
325	#FEFCFC
326	#F8EFEE
327	#F1E0DE
328	#EAD1CE
329	#E3C2BE
330	#DBB3AE
331	#AAA0D0
332	#AAA1D1
333	#ABA1D1
334	#ACA2D2
335	#ADA4D2
336	#AEA5D3
337	#B0A7D4
338	#B1A8D5
339	#B3AAD6
340	#B4ACD6
341	#B6ADD7
342	#B7AFD8
343	#B9B1D9
344	#BBB3DA
345	#BDB5DB
346	#C1B9DD
347	#C5BEE0
348	#CBC4E3
349	#D1CBE6
350	#D7D2E9
351	#DDD9ED
352	#E3E0F0
353	#EAE7F3
354	#F0EEF7
355	#FDFDFE
356	#F9F2F1
357	#F3E3E1
358	#ECD4D1
359	#E4C5C1
360	#DDB6B1
361	#A096CB
362	#A197CC
363	#A197CC
364	#A298CC
365	#A49ACD
366	#A59BCE
367	#A79DCF
368	#A89ED0
369	#A9A0D0
370	#ABA1D1
371	#ACA3D2
372	#AEA5D3
373	#AFA6D4
374	#B1A8D4
375	#B2A9D5
376	#B6ADD7
377	#BBB2DA
378	#C0B8DD
379	#C6BFE0
380	#CCC6E4
381	#D3CDE7
382	#D9D4EA
383	#E1DDEF
384	#EEEBF6
385	#FAFAFD
386	#FAF4F4
387	#F3E4E2
388	#ECD5D2
389	#E4C5C1
390	#DCB6B1
391	#978DC6
392	#978DC7
393	#988EC7
394	#998EC7
395	#9A90C8
396	#9C91C9
397	#9D93CA
398	#9F94CA
399	#A096CB
400	#A198CC
401	#A399CD
402	#A49BCE
403	#A69CCE
404	#A79ECF
405	#A99FD0
406	#ADA4D2
407	#B2A9D5
408	#B7AED8
409	#BCB4DB
410	#C3BBDE
411	#CAC3E2
412	#D4CFE8
413	#E1DDEF
414	#EEECF6
415	#FBFBFD
416	#FAF3F2
417	#F3E3E1
418	#EBD4D1
419	#E4C4C0
420	#DCB5B0
421	#8E83C1
422	#8E84C2
423	#8F84C2
424	#8F85C2
425	#9186C3
426	#9288C4
427	#9489C5
428	#958BC5
429	#978CC6
430	#988EC7
431	#998FC8
432	#9B91C9
433	#9C92C9
434	#9E94CA
435	#A096CC
436	#A69CCE
437	#ACA2D2
438	#B2A9D5
439	#B8AFD8
440	#C0B8DD
441	#CAC3E2
442	#D5D0E8
443	#E2DEEF
444	#EFEDF6
445	#FCFCFD
446	#FAF2F1
447	#F2E2E0
448	#EBD3CF
449	#E3C3BF
450	#DBB4AE
451	#847ABC
452	#857ABC
453	#857BBD
454	#867BBD
455	#877CBE
456	#897EBF
457	#8A7FBF
458	#8B81C0
459	#8E83C1
460	#9085C2
461	#9287C4
462	#9489C5
463	#968BC6
464	#988EC7
465	#9B91C9
466	#A197CC
467	#A89ECF
468	#AEA4D3
469	#B7AED8
470	#C0B8DD
471	#CBC5E3
472	#D8D3EA
473	#E5E1F1
474	#F1EFF8
475	#FEFEFF
476	#F9F1EF
477	#F2E1DF
478	#EAD2CE
479	#E3C2BE
480	#DBB3AD
481	#7B70B7
482	#7B71B7
483	#7C72B8
484	#7D73B9
485	#7F74B9
486	#8176BB
487	#8379BC
488	#857BBD
489	#877DBE
490	#897FBF
491	#8C81C0
492	#8E83C1
493	#9086C3
494	#9388C4
495	#978DC6
496	#9D93CA
497	#A59BCE
498	#AEA5D3
499	#B7AFD8
500	#C2BADE
501	#CEC8E4
502	#DBD6EB
503	#E7E4F2
504	#F4F3F9
505	#FEFDFC
506	#F7EDEC
507	#F0DEDC
508	#E9CFCB
509	#E2C0BB
510	#DAB1AC
511	#7369B3
512	#756BB4
513	#766CB5
514	#776DB5
515	#796EB6
516	#7B70B7
517	#7D72B8
518	#7F74B9
519	#8177BB
520	#8379BC
521	#867BBD
522	#887EBE
523	#8B80C0
524	#8E84C2
525	#9389C4
526	#9C92C9
527	#A69CCE
528	#AFA6D3
529	#B9B1D9
530	#C5BEDF
531	#D1CBE6
532	#DDD9ED
533	#EAE7F4
534	#F7F6FB
535	#FDF9F9
536	#F6EAE8
537	#EFDBD8
538	#E7CCC8
539	#E0BDB8
540	#D8AEA8
541	#6D64B0
542	#6E65B1
543	#7066B1
544	#7167B2
545	#7268B3
546	#746AB4
547	#766CB5
548	#796FB6
549	#7B71B8
550	#7E74B9
551	#8176BA
552	#8378BC
553	#867CBD
554	#8B81C0
555	#9489C5
556	#9D93CA
557	#A69DCF
558	#B0A7D4
559	#BCB4DB
560	#C8C1E1
561	#D4CEE8
562	#E0DCEE
563	#EDEAF5
564	#FAF9FC
565	#FBF6F5
566	#F4E7E5
567	#EDD7D5
568	#E6C8C5
569	#DEB9B5
570	#D7ABA5
571	#675EAD
572	#685FAE
573	#6960AE
574	#6B61AF
575	#6C62AF
576	#6E65B1
577	#7167B2
578	#7469B3
579	#766CB5
580	#796EB6
581	#7B71B7
582	#7E73B9
583	#857ABD
584	#8C81C0
585	#948AC5
586	#9E93CA
587	#A89ECF
588	#B3AAD6
589	#BFB7DC
590	#CBC4E3
591	#D7D2E9
592	#E3DFF0
593	#F0EDF7
594	#FCFCFE
595	#FAF3F2
596	#F3E3E1
597	#ECD4D1
598	#E4C5C1
599	#DDB6B1
600	#D5A7A2
601	#6058AA
602	#6259AA
603	#635AAB
604	#655CAC
605	#675DAD
606	#6960AE
607	#6B62AF
608	#6E64B1
609	#7167B2
610	#7369B3
611	#776DB5
612	#7E74B9
613	#857ABD
614	#8C81C0
615	#958AC5
616	#9F95CB
617	#AAA1D1
618	#B6ADD7
619	#C2BBDE
620	#CEC8E5
621	#DAD5EB
622	#E6E3F2
623	#F3F1F8
624	#FFFFFF
625	#F8EFEE
626	#F1E0DE
627	#EAD1CE
628	#E3C2BE
629	#DBB3AE
630	#D3A49F
631	#5A53A7
632	#5C54A7
633	#5E56A8
634	#5F57A9
635	#6159AA
636	#635AAB
637	#665DAC
638	#685FAE
639	#6B62AF
640	#7167B2
641	#786DB6
642	#7E74B9
643	#857BBD
644	#8C82C1
645	#968CC6
646	#A197CC
647	#ADA4D2
648	#B9B1D9
649	#C5BEE0
650	#D1CBE6
651	#DDD9ED
652	#EAE7F3
653	#F6F4FA
654	#FDFBFB
655	#F7ECEB
656	#F0DDDA
657	#E8CECA
658	#E1BFBA
659	#D9B0AB
660	#D1A19B
661	#554EA4
662	#564FA5
663	#5851A5
664	#5A52A6
665	#5B54A7
666	#5E55A8
667	#6058AA
668	#645BAC
669	#6A61AF
670	#7167B2
671	#786EB6
672	#7F74B9
673	#867BBD
674	#8D82C1
675	#988EC7
676	#A49ACD
677	#B0A7D4
678	#BCB4DB
679	#C8C1E1
680	#D4CFE8
681	#E1DCEE
682	#EDEAF5
683	#F9F8FC
684	#FCF8F7
685	#F5E9E7
686	#EED9D7
687	#E7CAC7
688	#DFBBB7
689	#D8ADA7
690	#D09E98
691	#4F49A1
692	#514BA2
693	#524CA3
694	#544DA4
695	#564FA4
696	#5850A5
697	#5E56A8
698	#645BAB
699	#6A61AF
700	#7167B2
701	#786EB6
702	#7F75BA
703	#867CBD
704	#8F85C2
705	#9B91C9
706	#A79ECF
707	#B3AAD6
708	#BFB8DC
709	#CBC5E3
710	#D8D2EA
711	#E4E0F0
712	#F0EEF7
713	#FCFBFD
714	#FAF4F3
715	#F4E5E3
