group	fill
1	#E7E4F2
2	#EBE8F4
3	#F0EEF7
4	#F5F3FA
5	#FAF9FC
6	#FFFFFF
7	#FDF9F9
8	#FAF4F3
9	#F8EFEE
10	#F6E9E8
11	#F3E4E2
12	#F0DEDC
13	#EDD8D5
14	#EBD2CF
15	#E8CCC8
16	#E4C5C1
17	#E1BFBA
18	#DEB8B3
19	#DAB2AD
20	#D7ABA6
21	#D4A6A0
22	#D2A39D
23	#D1A09A
24	#CF9D97
25	#CD9992
26	#CA948E
27	#C8908A
28	#C58B85
29	#C1857E
30	#BD7E77
31	#DFDBEE
32	#E3DFF0
33	#E7E4F2
34	#ECEAF5
35	#F1F0F8
36	#F6F5FA
37	#FBFAFD
38	#FFFFFF
39	#FDFAF9
40	#FAF4F4
41	#F8EFEE
42	#F5E9E8
43	#F3E3E1
44	#F0DCDA
45	#EDD6D3
46	#E9D0CC
47	#E6C9C5
48	#E3C3BE
49	#E0BCB7
50	#DCB5B1
51	#D9AFAA
52	#D6AAA5
53	#D5A7A1
54	#D3A49E
55	#D1A19B
56	#CF9E98
57	#CD9993
58	#CA948D
59	#C68C85
60	#C1857E
61	#D7D2E9
62	#DAD5EB
63	#DFDAEE
64	#E4E0F0
65	#E9E5F3
66	#EDEAF5
67	#F2F0F8
68	#F6F5FA
69	#FBFAFD
70	#FFFFFF
71	#FCF9F8
72	#FAF3F2
73	#F7EDEC
74	#F4E7E5
75	#F2E1DE
76	#EEDAD7
77	#EBD3D0
78	#E8CDC9
79	#E5C6C2
80	#E2C0BB
81	#DEB9B4
82	#DBB3AE
83	#D8AEA9
84	#D7ABA6
85	#D5A9A3
86	#D4A6A0
87	#D2A29C
88	#CE9B95
89	#CA938D
90	#C58C85
91	#CFC9E5
92	#D2CCE6
93	#D7D1E9
94	#DBD7EC
95	#E0DCEE
96	#E4E1F1
97	#E9E6F3
98	#EEEBF6
99	#F2F0F8
100	#F7F6FB
101	#FCFBFD
102	#FEFDFD
103	#FCF8F7
104	#F9F2F1
105	#F6EBEA
106	#F3E5E3
107	#F0DEDB
108	#EDD7D4
109	#EAD1CD
110	#E7CAC6
111	#E3C3BF
112	#E0BDB8
113	#DDB6B1
114	#DBB3AD
115	#D9B0AB
116	#D8ADA7
117	#D5A8A3
118	#D2A29C
119	#CE9A94
120	#C9928C
121	#C7C0E1
122	#CAC4E2
123	#CEC8E5
124	#D3CDE7
125	#D7D2EA
126	#DCD7EC
127	#E1DDEF
128	#E5E2F1
129	#EAE7F4
130	#EFECF6
131	#F3F2F9
132	#F8F7FB
133	#FDFCFE
134	#FEFCFC
135	#FBF6F5
136	#F8EFEE
137	#F5E8E7
138	#F2E2DF
139	#EFDBD8
140	#ECD4D1
141	#E9CECA
142	#E5C7C3
143	#E2C1BC
