group	fill
1	#F2E1DF
2	#F1DFDD
3	#EFDCD9
4	#EED9D6
5	#ECD6D3
6	#EBD2CF
7	#E9D0CC
8	#E8CDC9
9	#E7CAC6
10	#E5C7C4
11	#E4C4C0
12	#E2C1BD
13	#E0BEB9
14	#DFBAB5
15	#DDB7B2
16	#DBB3AE
17	#D9AFAA
18	#D6A9A3
19	#D2A39D
20	#CF9D97
21	#CD9993
22	#CB9690
23	#CA938D
24	#C89089
25	#C68C85
26	#C38881
27	#C1847D
28	#BF8079
29	#BC7C74
30	#B9766F
31	#F8EEED
32	#F7ECEB
33	#F5E9E8
34	#F4E6E4
35	#F3E3E1
36	#F1E0DE
37	#F0DDDB
38	#EFDBD8
39	#EDD8D5
40	#ECD5D2
41	#EBD2CF
42	#E9CFCB
43	#E7CBC8
44	#E6C8C4
45	#E4C4C0
46	#E2C1BC
47	#E0BCB8
48	#DDB6B1
49	#D9B0AB
50	#D6AAA4
51	#D3A49E
52	#D09F99
53	#CE9C96
54	#CD9992
55	#CB968F
56	#C9928C
57	#C78E88
58	#C48A83
59	#C1847D
60	#BE7F78
61	#FEFCFC
62	#FDFAF9
63	#FBF7F6
64	#FAF4F3
65	#F9F1EF
66	#F8EEED
67	#F6EBEA
68	#F5E8E6
69	#F4E5E3
70	#F2E2E0
71	#F1DFDD
72	#F0DCDA
73	#EED9D6
74	#ECD5D2
75	#EAD2CE
76	#E9CECB
77	#E6C9C6
78	#E3C3BF
79	#E0BDB8
80	#DDB7B2
81	#DAB1AB
82	#D6AAA5
83	#D3A59F
84	#D2A19C
85	#D09E98
86	#CE9C95
87	#CC9891
88	#C9928C
89	#C68D87
90	#C38881
91	#F7F5FA
92	#F8F7FB
93	#FBFAFD
94	#FDFDFE
95	#FFFEFE
96	#FDFBFB
97	#FCF9F8
98	#FBF6F5
99	#FAF3F2
100	#F8F0EF
101	#F7EDEB
102	#F6EAE8
103	#F4E7E5
104	#F3E3E1
105	#F1DFDD
106	#EFDCD9
107	#EDD7D4
108	#EAD0CD
109	#E7CAC6
110	#E4C4C0
111	#E1BEB9
112	#DDB7B3
113	#DAB1AC
114	#D7ABA6
115	#D5A7A2
116	#D3A49E
117	#D1A09A
118	#CE9B95
119	#CB9690
120	#C8918B
121	#ECE9F5
122	#EDEBF5
123	#F0EDF7
124	#F2F0F8
125	#F4F3F9
126	#F7F6FB
127	#F9F8FC
128	#FCFBFD
129	#FEFEFE
130	#FEFDFD
131	#FDFAFA
132	#FCF7F7
133	#FAF4F4
134	#F9F1F0
135	#F7EDEC
136	#F6EAE8
137	#F3E4E2
138	#F0DEDB
139	#EDD7D4
140	#EAD1CE
141	#E7CBC7
142	#E4C5C1
143	#E1BEBA
144	#DEB8B4
145	#DBB2AD
146	#D7ACA7
147	#D5A8A2
148	#D3A49E
149	#D09F99
150	#CD9A94
151	#E1DDEF
152	#E3DFF0
153	#E4E1F1
154	#E7E3F2
155	#E9E6F3
156	#ECE9F5
157	#EEECF6
158	#F0EEF7
159	#F3F1F8
160	#F5F4FA
161	#F8F7FB
162	#FAFAFC
163	#FDFCFE
164	#FFFFFF
165	#FDFBFB
166	#FCF7F7
167	#F9F1F0
168	#F6EBEA
169	#F3E5E3
170	#F0DEDC
171	#EED8D5
172	#EBD2CF
173	#E8CCC8
174	#E4C6C2
175	#E1BFBA
176	#DDB7B2
177	#DAB1AB
178	#D7ABA6
179	#D5A7A2
180	#D1A09A
181	#D7D1E9
182	#D8D2EA
183	#D9D4EB
184	#DCD7EC
185	#DEDAED
186	#E1DCEE
187	#E3DFF0
188	#E5E2F1
189	#E8E5F2
190	#EAE7F4
191	#EDEAF5
192	#EFEDF6
193	#F2F0F8
194	#F4F2F9
195	#F7F5FA
196	#FAF9FC
197	#FFFFFF
198	#FCF9F8
199	#F9F2F1
200	#F7ECEA
201	#F4E5E4
202	#F1DFDD
203	#EED9D6
204	#EBD2CF
205	#E7CBC7
206	#E3C3BF
207	#E0BCB7
208	#DCB5B0
209	#D8ADA8
210	#D4A59F
211	#CCC5E3
212	#CDC6E4
213	#CEC8E4
214	#D1CBE6
215	#D3CDE7
216	#D5D0E8
217	#D8D3EA
218	#DAD5EB
219	#DDD8EC
220	#DFDBEE
221	#E2DDEF
222	#E4E0F0
