group	fill
1	#F5F4FA
2	#F9F8FC
3	#FDFDFE
4	#FEFCFC
5	#FBF6F6
6	#F9F1F0
7	#F7ECEA
8	#F5E7E5
9	#F2E2E0
10	#F0DEDB
11	#EED9D6
12	#EBD3D0
13	#E9CECA
14	#E6C8C5
15	#E3C3BF
16	#E0BDB9
17	#DDB8B3
18	#DAB2AD
19	#D7ABA6
20	#D3A59F
21	#D09F99
22	#CF9D96
23	#CD9A93
24	#CB9690
25	#C9928C
26	#C68E87
27	#C48982
28	#C1857E
29	#BF8079
30	#BC7B74
31	#ECEAF5
32	#EFEDF7
33	#F4F2F9
34	#F8F7FB
35	#FDFCFE
36	#FEFDFC
37	#FCF8F7
38	#FAF3F2
39	#F8EEED
40	#F6EAE8
41	#F3E5E3
42	#F1DFDD
43	#EEDAD7
44	#ECD4D1
45	#E9CECB
46	#E6C9C5
47	#E3C3BF
48	#E0BDB8
49	#DDB6B1
50	#D9B0AB
51	#D6A9A4
52	#D3A49E
53	#D1A19B
54	#D09E98
55	#CE9B95
56	#CC9791
57	#C9928C
58	#C78E87
59	#C48983
60	#C1847D
61	#E3E0F0
62	#E6E3F1
63	#EAE7F4
64	#EFEDF6
65	#F3F1F9
66	#F7F6FB
67	#FBFAFD
68	#FFFFFF
69	#FDFAF9
70	#FBF5F4
71	#F8F0EF
72	#F6EBE9
73	#F4E5E3
74	#F1DFDD
75	#EEDAD7
76	#ECD4D1
77	#E9CECB
78	#E6C8C4
79	#E2C1BD
80	#DFBBB6
81	#DCB4AF
82	#D8AEA9
83	#D6A9A3
84	#D4A6A0
85	#D2A39D
86	#D1A09A
87	#CF9C96
88	#CC9891
89	#C9928C
90	#C58C85
91	#DAD5EB
92	#DDD8ED
93	#E1DDEF
94	#E6E2F1
95	#EAE7F3
96	#EEEBF6
97	#F2F0F8
98	#F6F5FA
99	#FAF9FC
100	#FEFEFF
101	#FDFBFB
102	#FBF6F5
103	#F9F1F0
104	#F6EBE9
105	#F4E5E3
106	#F1DFDD
107	#EEDAD7
108	#EBD3D0
109	#E8CDC9
110	#E5C6C2
111	#E1C0BB
112	#DEB9B4
113	#DBB2AD
114	#D8ADA8
115	#D6AAA5
116	#D5A7A2
117	#D3A59F
118	#D1A19B
119	#CE9B95
120	#CA938D
121	#D2CCE6
122	#D4CFE8
123	#D8D3EA
124	#DCD8EC
125	#E0DCEE
126	#E4E1F1
127	#E9E5F3
128	#EDEAF5
129	#F1EFF7
130	#F5F3FA
131	#F9F8FC
132	#FDFDFE
133	#FEFCFC
134	#FBF7F6
135	#F9F1F0
136	#F6EBE9
137	#F4E5E3
138	#F1DFDC
139	#EDD8D5
140	#EAD1CE
141	#E7CBC7
142	#E4C4C0
143	#E0BEB9
144	#DDB7B2
145	#DBB2AD
146	#D9AFAA
147	#D7ACA7
148	#D5A8A3
149	#D2A29C
150	#CD9993
151	#C9C2E2
